date,stock_code,open,high,low,close
2023-09-25,ASII,6225,6275,6200,6250
2023-09-26,ASII,6225,6300,6200,6200
2023-09-27,ASII,6200,6250,6125,6150
2023-09-29,ASII,6250,6275,6200,6225
2023-10-02,ASII,6275,6350,6250,6275
2023-10-03,ASII,6275,6300,6200,6200
2023-10-04,ASII,6175,6200,6050,6075
2023-10-05,ASII,6125,6175,6025,6025
2023-10-06,ASII,6050,6150,6050,6075
2023-10-09,ASII,6150,6225,6100,6125
2023-10-10,ASII,6175,6175,6050,6050
2023-10-11,ASII,6075,6125,6050,6050
2023-10-12,ASII,6000,6025,5950,5950
2023-10-13,ASII,6000,6025,5950,5975
2023-10-16,ASII,5925,5975,5825,5850
2023-10-17,ASII,5875,5925,5850,5850
2023-10-18,ASII,5850,6000,5825,5825
2023-10-19,ASII,5825,5850,5700,5725
2023-10-20,ASII,5675,5750,5650,5700
2023-10-23,ASII,5725,5750,5600,5600
2023-10-24,ASII,5600,5850,5600,5800
2023-10-25,ASII,5825,5925,5775,5775
2023-10-26,ASII,5775,5800,5675,5725
2023-10-27,ASII,5750,5775,5725,5725
2023-10-30,ASII,5750,5825,5675,5800
2023-10-31,ASII,5850,5900,5775,5775
2023-11-01,ASII,5900,6000,5800,5800
2023-11-02,ASII,5850,5900,5800,5800
2023-11-03,ASII,5850,5925,5825,5900
2023-11-06,ASII,5925,5950,5900,5925
2023-11-07,ASII,5925,5950,5775,5825
2023-11-08,ASII,5800,5825,5675,5725
2023-11-09,ASII,5775,5825,5725,5750
2023-11-10,ASII,5725,5775,5725,5775
2023-11-13,ASII,5825,5825,5650,5650
2023-11-14,ASII,5675,5725,5650,5675
2023-11-15,ASII,5750,5850,5700,5750
2023-11-16,ASII,5750,5825,5725,5825
2023-11-17,ASII,5800,5825,5700,5700
2023-11-20,ASII,5725,5850,5700,5800
2023-11-21,ASII,5800,5850,5750,5775
2023-11-22,ASII,5775,5775,5650,5675
2023-11-23,ASII,5675,5725,5675,5700
2023-11-24,ASII,5700,5750,5700,5725
2023-11-27,ASII,5725,5750,5600,5625
2023-11-28,ASII,5675,5675,5550,5550
2023-11-29,ASII,5600,5650,5525,5525
2023-11-30,ASII,5575,5575,5400,5400
2023-12-01,ASII,5450,5750,5450,5750
2023-12-04,ASII,5750,5825,5725,5750
2023-12-05,ASII,5775,5800,5675,5725
2023-12-06,ASII,5700,5825,5700,5725
2023-12-07,ASII,5750,5750,5600,5675
2023-12-08,ASII,5675,5700,5625,5675
2023-12-11,ASII,5650,5675,5525,5600
2023-12-12,ASII,5675,5675,5550,5575
2023-12-13,ASII,5550,5600,5525,5525
2023-12-14,ASII,5600,5650,5575,5625
2023-12-15,ASII,5625,5700,5600,5650
2023-12-18,ASII,5650,5650,5550,5600
2023-12-19,ASII,5625,5650,5600,5625
2023-12-20,ASII,5650,5700,5625,5625
2023-12-21,ASII,5600,5600,5475,5550
2023-12-22,ASII,5550,5600,5500,5550
